name,infrastructure_type,latitude,longitude
Velachery SABA Hospital,hospital,12.9862735,80.2298924
Ulagamathi Hospital,hospital,11.6144939,79.5496561
BHEL Hospital,hospital,12.9715563,79.2923427
Thirunavukarasu Hospital,hospital,11.0604732,78.1382707
Sri Malar Hospital,hospital,11.063636,78.139887
Maharaja Speciality Hospital,hospital,11.210755,78.166997
"R.K. Hospital, Namakkal",hospital,11.2143252,78.1678846
Chellam Hospitals,hospital,11.2153614,78.1684456
Deepthi Hospital,hospital,11.2152757,78.1680221
Sabari Childrens Hospital,hospital,11.2151465,78.1680375
Manoharan Hospital,hospital,11.218016,78.171629
Nirmala Hospital,hospital,11.2179361,78.1665001
Saravana Hospital,hospital,11.216652,78.171298
"Vairam Hospital,Namakkal",hospital,11.217603,78.153269
Aravinth Hospital,hospital,11.2233336,78.1672805
Aruthra Hospital,hospital,11.2264666,78.1631524
Ilamurugan Hospital,hospital,11.2248399,78.166586
Annai Eye Hospital,hospital,11.2241645,78.1641366
Bharathi Hospital,hospital,11.2342127,78.1659819
"Maruthi Hospital, Namakkal",hospital,11.2456461,78.1655518
Nila Hospital,hospital,11.2453699,78.1658075
Balaji Hospital,hospital,11.2439036,78.1666504
Our Lady Of Health Hospital,hospital,10.7712003,79.1365736
Rathinapuri Police Station,police,11.0250344,76.9715748
Thirukovilur Police Station,police,11.9664139,79.2020996
Chellam Hospital,hospital,12.9012946,80.1583761
,hospital,10.7715638,78.8011148
Boiler Plant Police Station,police,10.7710082,78.795665
Kaya Skin clinic,hospital,12.9767775,80.2223505
Kotagiri Medical Fellowship Hospital,hospital,11.4348162,76.859762
Madras Medical Mission Hospital - Institute of Cardio Vascular Diseases,hospital,13.0859961,80.1870589
Gudalur Adivasi Hospital,hospital,11.5020267,76.4990803
Raja Maternity Hospital,hospital,10.827056,78.6846068
Sree Balaji Hospital,hospital,10.8123761,78.7162558
,police,10.8161847,78.6942025
Alvin Hospital,hospital,10.7993396,78.7496107
Apollo Speciality Hospitals,hospital,10.80708,78.7111538
Gitanjali Hospital,hospital,10.8024873,78.7415659
Aalva Hospital,hospital,10.6378336,76.950131
Primary Health Center,hospital,10.601104,76.9285955
J.S. hospital,hospital,10.0780964,78.7847736
Main Hospital,hospital,10.7789063,78.7974406
"Vasan Eye Care Hospital, Kuniamuthoor",hospital,10.957713,76.9543156
,hospital,12.123578,78.1574383
Maragatham Hospital,hospital,11.9411824,79.4957252
Indumission Hospital,hospital,11.9396558,79.4899477
Ananada Hospital,hospital,11.9382623,79.4854322
Pavithra Hospital,hospital,13.1260907,80.2488406
Aswini Hospital,hospital,11.9402893,79.4893636
Police Station,police,11.9401952,79.4865046
Police Station,police,11.9440945,79.4958028
Eyyanur Hospital,hospital,11.621898,79.0571295
,police,10.8523494,77.8485857
Shankara Netralaya Eye Hospital,hospital,13.0642564,80.2497746
Devi Hospital,hospital,9.9524657,78.136102
Ortho One,hospital,11.0018351,77.0328061
Government Urban Primary Health Center,hospital,11.0827084,76.9427442
Karpagam Faculty Of Medical Sciences And Research,hospital,10.8840061,77.0066035
SN Hospital,hospital,8.2442143,77.298003
Sholayar Garden Hospital,hospital,10.2935723,76.9455228
Salem Town Police Station,police,11.6539405,78.1604851
Aravind Eye Hospital,hospital,11.641927,78.1392347
Vijaya hospital,hospital,11.6674308,78.1505122
S K S Hospital India Pvt Ltd,hospital,11.6701839,78.1433663
Alagapuram Police station,police,11.6769953,78.1422615
"St.Marys Hospital, Salem",hospital,11.6634501,78.1444402
Kamala Hospital,hospital,11.6565946,78.1643458
,fire_station,11.6539413,78.1511353
"Vasan Eye Care Hospital, Salem",hospital,11.6702294,78.1407532
"Kiruba Hospital, Salem",hospital,11.6670638,78.1563369
S Palaniandi Mudaliar Memorial Hospital,hospital,11.661301,78.1920085
Gopi Memorial Hospital,hospital,11.673855,78.1516078
R6 KUMARAN NAGAR POLICE STATION ,police,13.0283677,80.2163105
Aravind Eye Hospital (City Centre),hospital,11.0153158,76.9539881
Denkanikottai Police Station,police,12.5208971,77.7903372
Srinivasan Rajalakshmi Memorial Hospital,hospital,12.9733792,80.187599
"Lotus Eye Care Hospital, Coimbatore",hospital,11.0140006,76.9543624
ECHS,hospital,11.0051924,76.9879176
ECHS Polyclinic,hospital,11.0053321,76.9876533
,hospital,11.0248424,76.9564023
TMSSS hospital,hospital,10.6000872,78.4008614
,hospital,13.026489,80.1829882
,hospital,11.7094904,78.1031647
M.M. Hospital,hospital,11.2103089,78.1776545
Virudhunagar Fire Station,fire_station,9.5934341,77.9539212
Baalaje Hospital,hospital,11.0247244,76.9055811
"Sri Lakshmi Hospital, Coimbatore",hospital,11.0782349,76.9409348
Dr.Raj kumar,hospital,10.8752821,78.8163052
Airport Police Station,police,10.7588027,78.7077417
G4 Vandavasi north police station,police,12.5068712,79.6045373
superitendent of police,police,12.8224828,79.6973133
Walajabad police station,police,12.7937471,79.8162163
c3 police station Manimangalam,police,12.9163861,80.0398418
Cheyur Police station,police,12.3517152,79.9975084
sup,police,12.822712,79.6949704
anna nagar police superitendent station,police,12.8237772,79.6974277
Chengalpatu AwPolice Station,police,12.6971397,79.9771626
Guduvancherry Police Station,police,12.8439226,80.0615864
Baluchetty Chatram Police station,police,12.8768075,79.6160108
Melmaruvathur Police Station,police,12.4316923,79.831919
Mathur Police Station,police,12.3828409,78.4125514
Otteri Police Station,police,13.0874523,80.2458786
Palur Police station,police,12.7676644,79.9034914
